suite,task_id,task_description,episode_seed_base,variant_type,variant_index,prompt,rollout_index,episode_seed,success,episode_length
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,original,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,0,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,original,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,1,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,original,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,2,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,original,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,3,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,original,0,pick up the black bowl between the plate and the ramekin and place it on the plate,4,4,True,72
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,politeness,0,please pick up the black bowl between the plate and the ramekin and place it on the plate,0,0,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,politeness,0,please pick up the black bowl between the plate and the ramekin and place it on the plate,1,1,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,politeness,0,please pick up the black bowl between the plate and the ramekin and place it on the plate,2,2,True,87
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,politeness,0,please pick up the black bowl between the plate and the ramekin and place it on the plate,3,3,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,politeness,0,please pick up the black bowl between the plate and the ramekin and place it on the plate,4,4,True,79
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verb_paraphrase,0,grab the black bowl between the plate and the ramekin and place it on the plate,0,0,True,82
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verb_paraphrase,0,grab the black bowl between the plate and the ramekin and place it on the plate,1,1,True,65
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verb_paraphrase,0,grab the black bowl between the plate and the ramekin and place it on the plate,2,2,True,65
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verb_paraphrase,0,grab the black bowl between the plate and the ramekin and place it on the plate,3,3,True,67
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verb_paraphrase,0,grab the black bowl between the plate and the ramekin and place it on the plate,4,4,True,71
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,sentence_structure,0,"the black bowl between the plate and the ramekin, pick it upand place it on the plate",0,0,True,87
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,sentence_structure,0,"the black bowl between the plate and the ramekin, pick it upand place it on the plate",1,1,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,sentence_structure,0,"the black bowl between the plate and the ramekin, pick it upand place it on the plate",2,2,True,88
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,sentence_structure,0,"the black bowl between the plate and the ramekin, pick it upand place it on the plate",3,3,True,91
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,sentence_structure,0,"the black bowl between the plate and the ramekin, pick it upand place it on the plate",4,4,True,89
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verbosity,0,"Now for this task, pick up the black bowl between the plate and the ramekin and place it on the plate",0,0,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verbosity,0,"Now for this task, pick up the black bowl between the plate and the ramekin and place it on the plate",1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verbosity,0,"Now for this task, pick up the black bowl between the plate and the ramekin and place it on the plate",2,2,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verbosity,0,"Now for this task, pick up the black bowl between the plate and the ramekin and place it on the plate",3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,verbosity,0,"Now for this task, pick up the black bowl between the plate and the ramekin and place it on the plate",4,4,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,carefully,0,Pick up the black bowl between the plate and the ramekin and place it on the plate carefully,0,0,True,69
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,carefully,0,Pick up the black bowl between the plate and the ramekin and place it on the plate carefully,1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,carefully,0,Pick up the black bowl between the plate and the ramekin and place it on the plate carefully,2,2,True,245
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,carefully,0,Pick up the black bowl between the plate and the ramekin and place it on the plate carefully,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,carefully,0,Pick up the black bowl between the plate and the ramekin and place it on the plate carefully,4,4,True,89
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,quickly,0,pick up the black bowl between the plate and the ramekin and place it on the plate quickly,0,0,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,quickly,0,pick up the black bowl between the plate and the ramekin and place it on the plate quickly,1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,quickly,0,pick up the black bowl between the plate and the ramekin and place it on the plate quickly,2,2,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,quickly,0,pick up the black bowl between the plate and the ramekin and place it on the plate quickly,3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,quickly,0,pick up the black bowl between the plate and the ramekin and place it on the plate quickly,4,4,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,contrastive_negation,0,"Do not move the red, but the black bowl between the plate and the ramekin and place it on the plate",0,0,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,contrastive_negation,0,"Do not move the red, but the black bowl between the plate and the ramekin and place it on the plate",1,1,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,contrastive_negation,0,"Do not move the red, but the black bowl between the plate and the ramekin and place it on the plate",2,2,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,contrastive_negation,0,"Do not move the red, but the black bowl between the plate and the ramekin and place it on the plate",3,3,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,contrastive_negation,0,"Do not move the red, but the black bowl between the plate and the ramekin and place it on the plate",4,4,False,280
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,do_not_move,0,do not move the black bowl between the plate and the ramekin and place it on the plate,0,0,True,77
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,do_not_move,0,do not move the black bowl between the plate and the ramekin and place it on the plate,1,1,True,70
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,do_not_move,0,do not move the black bowl between the plate and the ramekin and place it on the plate,2,2,True,76
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,do_not_move,0,do not move the black bowl between the plate and the ramekin and place it on the plate,3,3,True,81
spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,do_not_move,0,do not move the black bowl between the plate and the ramekin and place it on the plate,4,4,True,78
